nome;preço;ano;quilometragem;cidade;estado;marca
Volkswagen Fox 1.0 Vht Total Flex 3p;23000.0;2009;111.000 Km;São Paulo Zona Oeste ; São Paulo;Volkswagen
Chevrolet Celta 1.0 Life Flex Power 3p;21990.0;2011;180.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Chery Face 1.3 16v 5p;21800.0;2012;80.000 Km;São Paulo Zona Sul ; São Paulo;Chery
Chevrolet Celta 1.0 3 Portas;20300.0;2012;115.600 Km;São Paulo Centro ; São Paulo;Chevrolet
Fiat Palio 1.3 Elx Flex 5p;23900.0;2005;198.934 Km;São Paulo Zona Sul ; São Paulo;Fiat
Peugeot 207 1.4 Xr Flex 5p;24990.0;2011;146.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Citroën C3 1.4 8v Exclusive Flex 5p;23000.0;2011;160.000 Km;São Paulo Zona Oeste ; São Paulo;Citroën
Peugeot 207 207 Passion Xr 1.4 8v (flex);22990.0;2012;210.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Chevrolet Classic 1.0 Ls Flex Power 4p;23900.0;2011;159.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Fiat Idea 1.4 Mpi Elx 8v;24500.0;2007;143.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Chevrolet Corsa Sedan 1.0 Super Milenium 4p;13900.0;1999;228.768 Km;Mauá ; São Paulo;Chevrolet
Citroën C3 1.4 8v Glx Flex 5p;24800.0;2011;125.000 Km;Osasco ; São Paulo;Citroën
Ford Ka 1.6 Flex 3p;23900.0;2009;109.658 Km;São Paulo Zona Leste ; São Paulo;Ford
Citroën C3 1.4 8v Exclusive Flex 5p;24590.0;2011;136.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Peugeot 207 1.6 16v Xs Flex 5p;23990.0;2009;110.000 Km;São Bernardo do Campo ; São Paulo;Peugeot
Chevrolet Celta 1.0 Spirit Flex Power 5p 77 Hp;14500.0;2009;175.400 Km;Guarulhos ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Lt Flex Power 5p;24900.0;2012;178.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Chevrolet Celta Chevrolet Celta Spirit 1.0 Vhce (flex) 4p;24900.0;2011;121.020 Km;São Bernardo do Campo ; São Paulo;Chevrolet
Chevrolet Celta Celta Life 1.0 Vhce (flex) 4p;24900.0;2009;142.529 Km;Santo André ; São Paulo;Chevrolet
Ford Fiesta 1.0 Flex 5p;24990.0;2011;53.677 Km;Campinas ; São Paulo;Ford
Chevrolet Celta Celta Life 1.0 Vhc (flex) 4p;21000.0;2009;156.400 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Fiat Uno 1.0 Vivace Flex 3p;23900.0;2014;138.000 Km;Guarulhos ; São Paulo;Fiat
Chery Chery Qq 1.1 16v 5p;18500.0;2013;92.000 Km;São Bernardo do Campo ; São Paulo;Chery
Fiat Siena 1.0 Fire Flex 4p;24990.0;2010;154.516 Km;Osasco ; São Paulo;Fiat
Renault Sandero 1.6 Expression Hi-torque 5p;23800.0;2011;151.000 Km;São Paulo Zona Norte ; São Paulo;Renault
Fiat Uno 1.0 Vivace 8v;24900.0;2012;125.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Citroën C3 1.4 8v Glx Flex 5p;23900.0;2008;86.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Ford Ecosport 1.6 Xlt 5p;24999.0;2004;200.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Ford Ka Ka 1.0 Flex;19990.0;2011;84.000 Km;São Paulo Zona Oeste ; São Paulo;Ford
Volkswagen Fox 1.0 Mi Plus 8v Flex 4p Manual;24999.0;2009;166.000 Km;São Paulo Zona Oeste ; São Paulo;Volkswagen
Chevrolet Celta 1.0 Ls Flex Power 3p;21000.0;2014;84.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Ford Focus 2.0 Glx Flex Aut. 5p;22000.0;2011;119.491 Km;São Paulo Zona Norte ; São Paulo;Ford
Ford Ka 1.0 Flex 3p;23900.0;2011;108.500 Km;Suzano ; São Paulo;Ford
Ford Ka 1.0 Mpi 8v Flex 2p Manual;21990.0;2009;124.839 Km;São Paulo Zona Leste ; São Paulo;Ford
Ford Fiesta 1.0 Personnalité 5p;17900.0;2005;128.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Fiat Palio Weekend 1.4 Elx Flex 5p;24990.0;2007;190.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Peugeot 207 207 Hatch Xr S 1.4 8v (flex);21990.0;2009;127.283 Km;Osasco ; São Paulo;Peugeot
Chevrolet Zafira 2.0 8v 5p;22900.0;2002;255.110 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Mpfi Life 8v;23900.0;2010;123.000 Km;Santo André ; São Paulo;Chevrolet
Fiat Siena 1.0 Fire Flex 4p;24990.0;2010;154.516 Km;Osasco ; São Paulo;Fiat
Renault Sandero 1.6 Expression Hi-torque 5p;23800.0;2011;151.000 Km;São Paulo Zona Norte ; São Paulo;Renault
Fiat Palio 1.0 Fire Celebration Flex 3p;24900.0;2009;156.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Renault Scenic 1.6 16v Rxe 5p;18600.0;2001;221.389 Km;Barueri ; São Paulo;Renault
Ford Ecosport 1.6 Xlt 5p;24999.0;2004;200.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Ford Ka Ka 1.0 Flex;19990.0;2011;84.000 Km;São Paulo Zona Oeste ; São Paulo;Ford
Volkswagen Fox 1.0 Mi Plus 8v Flex 4p Manual;24999.0;2009;166.000 Km;São Paulo Zona Oeste ; São Paulo;Volkswagen
Chevrolet Celta 1.0 Ls Flex Power 3p;21000.0;2014;84.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Ford Focus 2.0 Glx Flex Aut. 5p;22000.0;2011;119.491 Km;São Paulo Zona Norte ; São Paulo;Ford
Ford Ka 1.0 Flex 3p;23900.0;2011;108.500 Km;Suzano ; São Paulo;Ford
Ford Ka 1.0 Mpi 8v Flex 2p Manual;21990.0;2009;124.839 Km;São Paulo Zona Leste ; São Paulo;Ford
Ford Fiesta 1.0 Personnalité 5p;17900.0;2005;128.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Fiat Palio Weekend 1.4 Elx Flex 5p;24990.0;2007;190.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Peugeot 207 207 Hatch Xr S 1.4 8v (flex);21990.0;2009;127.283 Km;Osasco ; São Paulo;Peugeot
Chevrolet Zafira 2.0 8v 5p;22900.0;2002;255.110 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Mpfi Life 8v;23900.0;2010;123.000 Km;Santo André ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Trend Total Flex 5p;23000.0;2011;156.827 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Ford Fiesta Sedan 1.6 Pulse Flex 4p;23900.0;2011;210.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Renault Logan 1.6 Expression Hi-torque 4p;19900.0;2010;150.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Fiat Mille 1.0 Fire Economy Flex 3p;19900.0;2008;203.000 Km;Carapicuíba ; São Paulo;Fiat
Chevrolet Celta 1.0 Life Flex Power 5p;21900.0;2009;156.175 Km;Ribeirão Pires ; São Paulo;Chevrolet
Volkswagen Fox Fox City 1.0 (flex) 2p;18890.0;2007;167.000 Km;Osasco ; São Paulo;Volkswagen
Ford Fiesta 1.0 Flex 5p;25000.0;2010;256.000 Km;São Paulo Zona Oeste ; São Paulo;Ford
Renault Logan 1.0 16v Expression Hi-flex 4p;21890.0;2008;157.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Peugeot 207 1.4 Xr Flex 5p;24800.0;2012;73.000 Km;São Paulo Zona Oeste ; São Paulo;Peugeot
Chevrolet Celta Spirit;19990.0;2010;99.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Trend Total Flex 5p;21900.0;2011;155.600 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Peugeot 206 1.4 Sensation Flex 5p;16900.0;2009;149.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Chevrolet Classic Classic Spirit 1.0 (flex);22999.0;2009;135.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Renault Sandero 1.0 16v Expression Hi-flex 5p;23999.0;2011;164.654 Km;São Paulo Zona Leste ; São Paulo;Renault
Chevrolet Celta Celta Life 1.0 Vhc (flex) 2p;19890.0;2011;146.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Ford Fiesta Sedan 1.0 Mpi Sedan 8v;19900.0;2008;174.000 Km;Osasco ; São Paulo;Ford
Ford Ka 1.0 Mpi 8v Flex 2p Manual;24890.0;2010;90.277 Km;São Bernardo do Campo ; São Paulo;Ford
Chevrolet Corsa Sedan 1.0 Mpfi Sedan 8v;19900.0;2004;154.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Ford Ka 1.0 Flex 3p;19500.0;2012;100.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Ford Ka 1.6 Flex 3p;24990.0;2009;140.000 Km;São Bernardo do Campo ; São Paulo;Ford
Chevrolet Celta 1.0 Spirit Flex Power 3p;23800.0;2010;123.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Chery Chery Qq 1.1 16v 5p;18000.0;2012;57.000 Km;Santos ; São Paulo;Chery
Ford Ka 1.0 Flex 3p;18900.0;2009;110.465 Km;Diadema ; São Paulo;Ford
Peugeot 207 1.4 Xr Flex 5p;18000.0;2012;290.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Fiat Palio Palio 1.0 Mpi Fire Economy 8v Flex 2p Manual;21900.0;2010;181.370 Km;Carapicuíba ; São Paulo;Fiat
Fiat Palio 1.0 Fire Economy Flex 5p;24900.0;2010;179.435 Km;São Paulo Zona Sul ; São Paulo;Fiat
Citroën C3 1.6 16v Exclusive 5p;17800.0;2004;178.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Renault Sandero 1.0 16v Expression Hi-flex 5p;20990.0;2011;150.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Fiat Palio 1.0 Ex 3p;24890.0;2005;99.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Volkswagen Fox 1.0 Mi City 8v;24900.0;2007;128.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Volkswagen Fox 1.0 City Total Flex 5p;23990.0;2005;192.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Chevrolet Celta 1.0 Life Flex Power 3p;18900.0;2011;123.400 Km;Santo André ; São Paulo;Chevrolet
Volkswagen Gol 1.6 3p Gasolina;14990.0;1997;150.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Ford Ka 1.0 Flex 3p;16900.0;2009;90.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Chevrolet Corsa Classic 1.0 Life Flex Power 4p;21990.0;2007;181.000 Km;Itaquaquecetuba ; São Paulo;Chevrolet
Chevrolet Celta Life;22000.0;2008;200.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Ford Fiesta 1.0 Flex 5p;22000.0;2013;129.000 Km;Carapicuíba ; São Paulo;Ford
Peugeot 207 1.4 X-line Flex 3p;20900.0;2011;68.580 Km;Suzano ; São Paulo;Peugeot
Fiat Palio Palio 1.0 Economy Fire Flex 8v 4p;22900.0;2010;173.120 Km;São Paulo Zona Norte ; São Paulo;Fiat
Fiat Siena 1.0 Fire Flex 4p;18999.0;2008;171.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Peugeot 207 Sw 1.4 Xr Flex 5p;18500.0;2009;199.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Volkswagen Gol 1.0 Trend Total Flex 3p;20900.0;2012;350.000 Km;Santa Bárbara D'Oeste ; São Paulo;Volkswagen
Ford Fiesta 1.0 Flex 5p;18500.0;2009;169.000 Km;São Bernardo do Campo ; São Paulo;Ford
Fiat Palio 1.0 Fire Economy Flex 3p;23900.0;2013;148.000 Km;Mogi das Cruzes ; São Paulo;Fiat
Peugeot 207 1.4 Xr Flex 5p;22990.0;2012;157.000 Km;Diadema ; São Paulo;Peugeot
Fiat Siena Siena Fire 1.0 8v (flex);24890.0;2008;145.556 Km;São Paulo Zona Norte ; São Paulo;Fiat
Renault Symbol Symbol 1.6 16v Privilège (flex);24900.0;2011;149.711 Km;Santo André ; São Paulo;Renault
Renault Clio Clio Hatch. Campus 1.0 16v (flex) 4p;20900.0;2009;208.000 Km;São Paulo Zona Sul ; São Paulo;Renault
Chevrolet Celta 1.0 Mpfi Vhc Super 8v;10000.0;2004;145.000 Km;São Caetano do Sul ; São Paulo;Chevrolet
Chevrolet Meriva 1.8 Maxx Flex Power 5p;22900.0;2007;180.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Ford Fiesta 1.6 Fly Flex 5p;24000.0;2011;138.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Fiat Uno 1.0 Vivace Flex 3p;23900.0;2014;138.000 Km;Guarulhos ; São Paulo;Fiat
Chevrolet Celta 1.0 Ls Flex Power 3p;24000.0;2012;155.000 Km;Franco da Rocha ; São Paulo;Chevrolet
Nissan Versa 1.6 16v Sv Flex 4p;18000.0;2012;231.000 Km;São Paulo Zona Norte ; São Paulo;Nissan
Citroën C3 1.4 8v Glx Flex 5p;21600.0;2008;118.200 Km;São Paulo Zona Leste ; São Paulo;Citroën
Citroën C3 1.4 8v Glx Flex 5p;23900.0;2008;86.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Peugeot 207 1.4 Xr Flex 5p;21900.0;2012;154.000 Km;Santo André ; São Paulo;Peugeot
Peugeot 206 Feline 1.6;14900.0;2004;221.000 Km;Taboão da Serra ; São Paulo;Peugeot
Citroën C4 Hatch Exclusive;22000.0;2010;100.000 Km;Mogi das Cruzes ; São Paulo;Citroën
Chevrolet Corsa Classic Classic Life;21000.0;2010;251.738 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Mpfi Life 8v Flex 2p Manual;21900.0;2011;213.783 Km;São Paulo Zona Oeste ; São Paulo;Chevrolet
Ford Ka 1.0 Mpi 8v Flex 2p Manual;19990.0;2009;189.457 Km;Campinas ; São Paulo;Ford
Fiat Palio Palio Celebration 1.0 Fire Flex 8v 4p;18900.0;2007;170.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Renault Clio Clio Hatch. Campus 1.0 16v (flex) 4p;24900.0;2009;115.500 Km;São Paulo Zona Norte ; São Paulo;Renault
Chevrolet Classic 1.0 Flex Power 4p;16900.0;2010;290.000 Km;Osasco ; São Paulo;Chevrolet
Volkswagen Fox Fox 1.0 8v (flex);21900.0;2006;221.985 Km;Santo André ; São Paulo;Volkswagen
Fiat Palio 1.0 Fire Economy Flex 5p;24990.0;2010;149.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Citroën C3 1.4 8v Glx Flex 5p;22500.0;2011;80.000 Km;São Bernardo do Campo ; São Paulo;Citroën
Volkswagen Fox 1.0 City Total Flex 5p;24900.0;2010;89.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Ford Fiesta 1.6 8v Flex/class 1.6 8v Flex 5p;22490.0;2008;104.336 Km;São Paulo Zona Leste ; São Paulo;Ford
Chevrolet Celta 1.0 Mpfi Vhc Super 8v Gasolina 2p Manual;15900.0;2003;217.300 Km;Santo André ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Trend Total Flex 5p;22000.0;2013;24.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Chevrolet Celta 1.0 Mpfi Spirit 8v Flex 4p Manual;24990.0;2010;237.100 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Total Flex 5p;19990.0;2011;185.000 Km;Osasco ; São Paulo;Volkswagen
Renault Clio 1.0 16v Rn 5p;20890.0;2003;149.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Ford Ka 1.0 Flex 3p;18000.0;2012;130.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Renault Sandero Expression 1.0 16v Hi-flex Mec.;24900.0;2012;149.000 Km;São Paulo Zona Norte ; São Paulo;Renault
Mercedes-benz Classe A 1.6 Classic 5p;18990.0;2004;184.000 Km;São Paulo Zona Norte ; São Paulo;Mercedes-benz
Peugeot 207 207 Passion Xr 1.4 8v (flex);21890.0;2012;175.124 Km;Barueri ; São Paulo;Peugeot
Citroën C3 1.4 8v Glx Flex 5p;24890.0;2010;200.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Citroën C3 1.4 8v Glx Flex 5p;24890.0;2010;200.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Chevrolet Corsa 1.0 Joy Flex Power 5p;20900.0;2006;197.000 Km;São Bernardo do Campo ; São Paulo;Chevrolet
Volkswagen Gol 1.6 3p Gasolina;13990.0;1996;204.414 Km;Guarulhos ; São Paulo;Volkswagen
Volkswagen Pointer 1.8 I 8v;12990.0;1996;130.000 Km;Itapecerica da Serra ; São Paulo;Volkswagen
Ford Fiesta 1.0 8v Flex/class 1.0 8v Flex 5p;20990.0;2007;130.000 Km;São Bernardo do Campo ; São Paulo;Ford
Fiat Palio 1.0 Fire Economy Flex 3p;24900.0;2011;111.300 Km;São Paulo Zona Norte ; São Paulo;Fiat
Fiat Palio Weekend 1.8 Ex 5p;16800.0;2003;187.461 Km;Osasco ; São Paulo;Fiat
Volkswagen Fox Fox 1.0 8v (flex);23990.0;2008;168.000 Km;Santo André ; São Paulo;Volkswagen
Chevrolet Astra Sedan Astra Sedan Comfort 2.0 (flex);23900.0;2007;97.000 Km;São Bernardo do Campo ; São Paulo;Chevrolet
Ford Fiesta Hatch  1.0 8v Flex 4p Mec.;23990.0;2009;132.000 Km;Osasco ; São Paulo;Ford
Fiat Palio 1.0 Fire Economy Flex 3p;21900.0;2011;170.000 Km;São Paulo Zona Norte ; São Paulo;Fiat
Fiat Palio 1.0 Mpi Elx 8v Flex 4p Manual;20990.0;2008;200.000 Km;São Paulo Centro ; São Paulo;Fiat
Peugeot 206 Sw 1.6 16v Escapade Flex 5p;19870.0;2007;159.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Peugeot 207 1.4 Xr Flex 5p;16900.0;2011;140.000 Km;São Bernardo do Campo ; São Paulo;Peugeot
Fiat Palio Weekend 1.8 Hlx Flex 5p;22900.0;2005;159.902 Km;São Paulo Zona Leste ; São Paulo;Fiat
Citroën C3 C3 Exclusive 1.4 8v (flex);21900.0;2008;141.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Fiat Siena 1.0 Fire 4p;14899.0;2003;185.000 Km;São Paulo Zona Norte ; São Paulo;Fiat
Volkswagen Gol 1.0 Special 2p;14777.0;1999;199.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Fiat Palio 1.0 Fire Economy Flex 5p;19900.0;2012;153.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Chevrolet Corsa 1.4 Maxx Econoflex 5p;24900.0;2012;185.300 Km;Santo André ; São Paulo;Chevrolet
Fiat Palio 1.0 Fire Flex 3p;24990.0;2016;48.000 Km;São Paulo Zona Oeste ; São Paulo;Fiat
Fiat Palio 1.0 Fire Flex 5p;18900.0;2006;220.000 Km;São Paulo Zona Sul ; São Paulo;Fiat
Citroën Xsara Picasso 1.6 Glx Flex 5p;22500.0;2009;113.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Chevrolet Celta 1.0 Life Flex Power 3p;18990.0;2009;150.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Volkswagen Voyage 1.6 S 8v;24900.0;1986;53.000 Km;Osasco ; São Paulo;Volkswagen
Volkswagen Fox 1.0 City Total Flex 5p;23990.0;2008;291.665 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Fiat Palio 1.0 Fire Economy Flex 3p;15990.0;2009;193.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Citroën C4 2.0 Glx Pallas 16v Gasolina 4p Automático;22000.0;2008;150.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Volkswagen Gol 1.0 Total Flex 3p;24990.0;2011;100.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Volkswagen Gol 1.6 Plus Total Flex 5p;19900.0;2004;220.000 Km;Carapicuíba ; São Paulo;Volkswagen
Chevrolet Corsa 1.0 Mpfi Joy 8v;22900.0;2007;48.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Citroën Xsara 1.8 Glx Aut. 3p;14800.0;1999;72.173 Km;São Paulo Zona Norte ; São Paulo;Citroën
Fiat Uno 1.0 Smart 5p Gasolina;18890.0;2001;140.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Renault Sandero 1.0 16v Expression Hi-flex 5p;24500.0;2011;160.000 Km;Rio Grande da Serra ; São Paulo;Renault
Kia Picanto 1.1 Ex 12v Gasolina 4p Manual;23890.0;2007;139.229 Km;São Bernardo do Campo ; São Paulo;Kia
Peugeot 207 1.4 Xr Sport Flex 5p;22790.0;2011;190.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Renault Sandero Aut1016v;23900.0;2009;160.165 Km;São Paulo Zona Leste ; São Paulo;Renault
Fiat Uno Uno Economy 1.0;20900.0;2012;199.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Chery Face 1.3 16v 5p;22900.0;2011;64.000 Km;São Paulo Zona Leste ; São Paulo;Chery
Citroën C3 1.4 8v Glx Flex 5p;22999.0;2011;118.000 Km;São Bernardo do Campo ; São Paulo;Citroën
Chevrolet Celta 1.0 Life 2p;16900.0;2007;239.000 Km;Taboão da Serra ; São Paulo;Chevrolet
Renault Sandero 1.0 16v Expression Hi-flex 5p;25000.0;2012;96.000 Km;São Bernardo do Campo ; São Paulo;Renault
Chevrolet Classic 1.0 Flex Power 4p;22800.0;2010;170.000 Km;Guarulhos ; São Paulo;Chevrolet
Ford Fiesta 1.0 Flex 5p;25000.0;2009;78.000 Km;Presidente Epitácio ; São Paulo;Ford
Renault Scenic 1.6 Authentique 16v Flex 4p Manual;21800.0;2006;180.000 Km;Guarulhos ; São Paulo;Renault
Ford Fiesta 1.0 Flex 5p;24000.0;2011;122.000 Km;Santo André ; São Paulo;Ford
Peugeot 206 1.6 16v Soleil 5p;12900.0;2003;200.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Citroën C4 2.0 Exclusive Flex Aut. 5p;24000.0;2009;142.130 Km;Santo André ; São Paulo;Citroën
Citroën C3 1.6 16v Exclusive Flex 5p;21900.0;2006;178.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Volkswagen Voyage 1.6 C 2p;10900.0;1990;313.464 Km;Mauá ; São Paulo;Volkswagen
Chevrolet Chevette Chevrolet Chevette Sedan Sl 1.6 S;20900.0;1990;179.000 Km;São Paulo Centro ; São Paulo;Chevrolet
Peugeot 207 Passion 1.4 Xr Flex 4p;19999.0;2010;100.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Citroën C3 1.4 8v Exclusive Flex 5p;25000.0;2012;141.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Renault Symbol Symbol 1.6 8v Expression Hi-torque (flex);24900.0;2011;128.000 Km;São Paulo Zona Norte ; São Paulo;Renault
Ford Ka 1.0 Gl 3p;10900.0;2007;108.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Citroën C3 1.4 8v Glx Flex 5p;21900.0;2008;149.000 Km;São Paulo Zona Norte ; São Paulo;Citroën
Volkswagen Gol 1.0 Ecomotion Total Flex 3p;22000.0;2011;185.456 Km;Santo André ; São Paulo;Volkswagen
Chevrolet Corsa 1.0 Joy Flex Power 5p;23990.0;2009;23.990 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Ford Ka 1.0 Flex 3p;16500.0;2009;98.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Ford Fiesta Ford Fiesta Hatch 1.0 (flex);24900.0;2010;169.310 Km;São Bernardo do Campo ; São Paulo;Ford
Peugeot 207 1.4 Xr Flex 5p;19990.0;2013;126.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Ford Ka 1.0 Flex 3p;17000.0;2009;135.000 Km;Franco da Rocha ; São Paulo;Ford
Chevrolet Classic 1.0 Ls Flex Power 4p;24990.0;2013;110.000 Km;São Paulo Zona Oeste ; São Paulo;Chevrolet
Peugeot 307 Sedan 1.6 Presence Flex 4p;24990.0;2007;100.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Chevrolet Prisma 1.4 Maxx Econoflex 4p;24990.0;2008;100.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
